SYSCALL(args) 		 = return
bsdthread_register(0x7FFF96F1DFBC, 0x7FFF96F1DFAC, 0x2000)		 = 0 0
mprotect(0x104725000, 0x88, 0x1)		 = 0 0
mprotect(0x10472E000, 0x1000, 0x0)		 = 0 0
mprotect(0x104744000, 0x1000, 0x0)		 = 0 0
mprotect(0x104745000, 0x1000, 0x0)		 = 0 0
mprotect(0x10475B000, 0x1000, 0x0)		 = 0 0
mprotect(0x104727000, 0x1000, 0x1)		 = 0 0
mprotect(0x104725000, 0x88, 0x3)		 = 0 0
mprotect(0x104725000, 0x88, 0x1)		 = 0 0
issetugid(0x7FFF7C9B4480, 0x7FFFFFE00034, 0x7FFFFFE00036)		 = 0 0
getpid(0x1, 0x10475C000, 0x49656E69)		 = 34604 0
__mac_syscall(0x7FFF96F24E47, 0x2, 0x7FFF5B4DDA48)		 = 0 0
stat64("/AppleInternal\0", 0x7FFF5B4DDAC8, 0x0)		 = -1 Err#2
audit_session_self(0x7FFF5B4DD980, 0x7FFF5B4DD7B8, 0x4)		 = 4099 0
geteuid(0x7FFF5B4DD980, 0x7FFF5B4DD7B8, 0x0)		 = 0 0
getegid(0x7FFF5B4DD980, 0x7FFF5B4DD7B8, 0x0)		 = 20 0
getaudit_addr(0x7FFF5B4DDA58, 0x30, 0x0)		 = 0 0
csops(0x872C, 0x7, 0x7FFF5B4DD640)		 = -1 Err#22

